Temp	Sublattice_Magnetism_Incorrect_Glauber	Sublattice_Magnetism_Incorrect_Glauber	Nope	Sublattice_Susceptibility_Incorrect_Glauber	Sublattice_Susceptibility_Incorrect_Glauber	Nope	Energy_Incorrect_Glauber	Heat_Capacity_Incorrect_Glauber	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect_Glauber	Prob1_Incorrect	Prob0_Incorrect	Prob_neg1_Incorrect
9.828	-0.00155333	0.00224222	0	0.000118842	0.000114757	0	-47.853	4.75425	0.483746	1.09851	0.251449	0.251104	0.497447
9.827	-0.000826667	0.00245111	0	0.000123735	0.000120414	0	-46.377	4.83236	0.491743	1.09851	0.251758	0.250946	0.497297
9.826	0.000722222	0.000533333	0	0.000113514	0.000124684	0	-47.22	4.92021	0.500734	1.09851	0.251564	0.250937	0.497499
9.825	-0.00147556	0.00155333	0	0.000121462	0.000112691	0	-46.599	5.09059	0.518127	1.09851	0.251264	0.251226	0.49751
9.824	0.00157333	-0.00180444	0	0.000121065	0.000124347	0	-45.4	5.19904	0.529218	1.09851	0.251233	0.251349	0.497418
9.823	-0.000293333	0.000471111	0	0.000108842	0.000120599	0	-46.913	5.12499	0.521734	1.09851	0.251466	0.251377	0.497158
9.822	0.000777778	0.0004	0	0.000111182	0.000109637	0	-46.344	5.00202	0.509267	1.09851	0.251597	0.251008	0.497396
9.821	0.000628889	-0.00158667	0	0.000112203	0.000120186	0	-47.802	4.47216	0.455367	1.0985	0.251073	0.251552	0.497374
9.82	-0.000593333	0.00145778	0	0.000114862	0.000116984	0	-45.723	4.68036	0.476615	1.0985	0.251431	0.250999	0.49757
9.819	0.000702222	-0.000186667	0	0.000111909	0.000115198	0	-46.108	4.54587	0.462967	1.0985	0.251482	0.251224	0.497293
9.818	0.00196222	-0.00218667	0	0.000129648	0.000118448	0	-45.084	4.92715	0.501848	1.0985	0.251259	0.251371	0.49737
9.817	-0.000271111	0.00125333	0	0.000126816	0.000120018	0	-46.183	4.89468	0.498592	1.0985	0.251583	0.251092	0.497324
9.816	0.000593333	-0.000368889	0	0.00011765	0.000111196	0	-46.684	5.14143	0.52378	1.0985	0.251402	0.25129	0.497308
9.815	-0.00271778	0.000157778	0	0.000125989	0.000116014	0	-46.111	4.78061	0.487072	1.0985	0.250616	0.251896	0.497489
9.814	-0.000104444	-0.000304444	0	0.000112756	0.00011299	0	-46.017	4.44104	0.452521	1.0985	0.251162	0.251367	0.497471
9.813	0.000431111	0.00320889	0	0.000126595	0.000116774	0	-46.155	4.59221	0.467972	1.0985	0.25218	0.25036	0.49746
9.812	-0.000897778	-0.00116444	0	0.000122417	0.000110877	0	-46.409	4.94685	0.504163	1.0985	0.250898	0.251929	0.497173
9.811	0.00184222	0.000211111	0	0.000118632	0.000121678	0	-46.151	4.82592	0.491888	1.0985	0.251829	0.250802	0.497369
9.81	-0.00214444	0.000493333	0	0.000110201	0.000112935	0	-46.447	5.06208	0.516013	1.0985	0.251007	0.251832	0.497161
9.809	-0.00203778	-4.88889e-005	0	0.000125123	0.000110735	0	-45.88	4.67092	0.476187	1.0985	0.250846	0.251889	0.497266
9.808	-0.000684444	0.00128667	0	0.000119136	0.0001268	0	-46.737	4.9711	0.506841	1.0985	0.251503	0.251202	0.497294
