Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
7.773	0.031758	0.0328351	0.0315042	7.52771e-005	7.85982e-005	7.19039e-005	-107.483	10.9048	1.40291	0.722164	0.295675	0.295675	0.40865
7.774	0.0332169	0.0322581	0.0328512	8.11313e-005	7.87112e-005	7.92833e-005	-106.295	13.0783	1.68231	0.722166	0.296108	0.296108	0.407783
7.775	0.0326516	0.032623	0.0325147	7.78883e-005	7.55613e-005	7.90265e-005	-107.275	12.8105	1.64766	0.722167	0.29551	0.29551	0.40898
7.776	0.0325975	0.0333755	0.0325845	7.7697e-005	8.53409e-005	7.73729e-005	-107.72	11.875	1.52713	0.722169	0.295281	0.295281	0.409438
7.777	0.0318283	0.0318752	0.0323783	7.4468e-005	7.21993e-005	7.51852e-005	-109.012	12.4208	1.59712	0.722171	0.29592	0.29592	0.40816
7.778	0.0316637	0.0330214	0.0313209	7.16887e-005	8.05381e-005	7.55279e-005	-105.417	12.6448	1.62571	0.722173	0.296083	0.296083	0.407834
7.779	0.0339029	0.0318417	0.0325833	8.10197e-005	7.86712e-005	7.59812e-005	-104.467	11.6485	1.49743	0.722175	0.295864	0.295864	0.408273
7.78	0.0320883	0.0325445	0.0323587	7.56156e-005	7.80482e-005	7.89812e-005	-107.18	11.5551	1.48523	0.722176	0.296042	0.296042	0.407917
7.781	0.0338388	0.0326282	0.0342634	8.46039e-005	7.94528e-005	8.45607e-005	-108.676	12.3457	1.58664	0.722178	0.296148	0.296148	0.407704
7.782	0.0322687	0.0322614	0.0326981	7.64089e-005	7.72304e-005	7.62392e-005	-106.942	12.7143	1.63381	0.72218	0.295676	0.295676	0.408647
7.783	0.0327504	0.0323194	0.0329317	7.58673e-005	7.54346e-005	7.82506e-005	-107.373	11.815	1.51805	0.722181	0.295497	0.295497	0.409006
7.784	0.0318628	0.0320075	0.0330127	7.70035e-005	7.53155e-005	7.8157e-005	-105.548	12.0233	1.54462	0.722183	0.296003	0.296003	0.407994
7.785	0.0321799	0.0324994	0.033541	7.84421e-005	7.6229e-005	7.966e-005	-108.049	11.8493	1.52207	0.722185	0.295708	0.295708	0.408584
7.786	0.0329214	0.0318441	0.0330217	7.80821e-005	7.64368e-005	7.97157e-005	-105.973	11.6376	1.49468	0.722187	0.2959	0.2959	0.408201
7.787	0.0325809	0.0321288	0.0317735	7.55805e-005	7.40474e-005	7.56322e-005	-108.318	11.9201	1.53076	0.722188	0.29622	0.29622	0.407561
7.788	0.0315358	0.0322583	0.0316516	7.10472e-005	7.78267e-005	7.52385e-005	-104.678	12.1586	1.5612	0.72219	0.296029	0.296029	0.407942
7.789	0.0319629	0.0315491	0.0330675	7.5097e-005	7.2873e-005	8.21268e-005	-103.029	13.3944	1.71966	0.722192	0.296199	0.296199	0.407601
7.79	0.0323596	0.0329915	0.0323133	7.99114e-005	7.64293e-005	7.98175e-005	-106.232	12.3614	1.58684	0.722194	0.295684	0.295684	0.408632
7.791	0.0340052	0.0335823	0.0338362	8.55231e-005	7.94814e-005	8.22503e-005	-104.724	11.6093	1.49009	0.722195	0.296208	0.296208	0.407583
7.792	0.031936	0.0315327	0.0316138	7.49903e-005	7.29441e-005	7.2986e-005	-108.628	12.3776	1.58851	0.722197	0.295863	0.295863	0.408274
7.793	0.0317071	0.0317782	0.0324962	7.54111e-005	7.81044e-005	7.41302e-005	-103.131	12.6375	1.62164	0.722199	0.296041	0.296041	0.407919
7.794	0.0317502	0.0323571	0.0321939	7.52906e-005	7.89219e-005	7.63678e-005	-106.318	11.5905	1.4871	0.722201	0.295702	0.295702	0.408596
7.795	0.0323573	0.0323055	0.0326491	7.64358e-005	7.66541e-005	7.87664e-005	-109.505	11.9813	1.53705	0.722202	0.295966	0.295966	0.408068
7.796	0.0323821	0.0326699	0.0322052	7.74658e-005	7.98233e-005	7.49343e-005	-106.783	11.7817	1.51124	0.722204	0.296108	0.296108	0.407784
7.797	0.0328442	0.0317706	0.0321035	8.08208e-005	7.59695e-005	7.44335e-005	-105.656	12.3833	1.58822	0.722206	0.295656	0.295656	0.408687
7.798	0.0321013	0.0325138	0.0317325	7.7045e-005	7.49923e-005	7.60929e-005	-108.117	11.2287	1.43994	0.722207	0.296077	0.296077	0.407847
7.799	0.0319896	0.0315404	0.0326454	7.41478e-005	7.60881e-005	7.69515e-005	-105.522	12.2998	1.5771	0.722209	0.295952	0.295952	0.408097
7.8	0.032713	0.0316863	0.0317857	7.9267e-005	7.64877e-005	7.5659e-005	-107.463	11.5265	1.47775	0.722211	0.295544	0.295544	0.408911
7.801	0.0325484	0.0329611	0.0329916	7.79722e-005	7.9219e-005	7.7642e-005	-104.786	12.7191	1.63044	0.722212	0.295808	0.295808	0.408384
7.802	0.032616	0.0333703	0.033834	7.81809e-005	8.2122e-005	8.20669e-005	-108.739	11.6861	1.49784	0.722214	0.295773	0.295773	0.408453
7.803	0.032308	0.0316672	0.0329279	7.52389e-005	7.47112e-005	7.74947e-005	-107.091	11.7537	1.50631	0.722216	0.295855	0.295855	0.408289
7.804	0.032313	0.0319391	0.0321068	8.04037e-005	7.59481e-005	7.6437e-005	-104.861	11.918	1.52717	0.722218	0.295849	0.295849	0.408302
7.805	0.0321652	0.03213	0.0336657	7.72763e-005	7.35751e-005	8.0366e-005	-108.02	12.1598	1.55795	0.722219	0.296092	0.296092	0.407816
7.806	0.0329939	0.0318988	0.032657	8.03052e-005	7.71809e-005	8.06072e-005	-109.193	11.8018	1.51189	0.722221	0.295689	0.295689	0.408622
