Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Glauber	Heat_Capacity_Glauber	Heat_Capacity_Over_Temp	Entropy_Glauber	Prob1	Prob0	Prob_-1
9.929	0.0393667	0.0384267	0.0384567	8.48535e-005	8.53496e-005	8.87777e-005	-107.016	8.99576	0.906009	7.65433e-005	0.334932	0.335342	0.329726
9.928	0.03975	0.0393267	0.0384933	8.63119e-005	8.8653e-005	8.59429e-005	-109.16	8.80206	0.886589	7.755e-005	0.334656	0.335557	0.329788
9.927	0.03708	0.03948	0.0384033	8.27156e-005	8.61664e-005	8.27256e-005	-107.235	9.18671	0.925427	7.85351e-005	0.335694	0.335024	0.329281
9.926	0.03915	0.0398233	0.0388133	9.24687e-005	9.18085e-005	8.92351e-005	-107.507	10.4696	1.05476	7.95633e-005	0.335454	0.335079	0.329467
9.925	0.0386233	0.0377633	0.0391833	8.70489e-005	8.33661e-005	8.90086e-005	-109.416	9.31052	0.938088	8.07353e-005	0.335087	0.33519	0.329723
9.924	0.0379833	0.03846	0.0380067	7.94292e-005	8.79737e-005	8.47669e-005	-107.719	9.33012	0.940157	8.17776e-005	0.335408	0.335851	0.328741
9.923	0.0390667	0.03717	0.0376567	9.17012e-005	8.99641e-005	8.47624e-005	-106.817	10.0167	1.00944	8.28222e-005	0.335344	0.33558	0.329076
9.922	0.0380233	0.0384267	0.0388133	8.26282e-005	8.23615e-005	8.857e-005	-106.612	9.71656	0.979295	8.39438e-005	0.334992	0.335398	0.32961
9.921	0.0373133	0.03722	0.0380033	8.24854e-005	8.5702e-005	8.02408e-005	-106.668	10.6039	1.06884	8.50319e-005	0.335446	0.335176	0.329379
9.92	0.03893	0.0381	0.0377433	8.59139e-005	8.37333e-005	8.62911e-005	-107.543	9.25151	0.932612	8.62195e-005	0.335606	0.335194	0.3292
9.919	0.0396867	0.0389933	0.0379467	8.76042e-005	8.04391e-005	8.30847e-005	-107.228	9.95205	1.00333	8.72558e-005	0.335799	0.335001	0.3292
9.918	0.03975	0.0386933	0.0390567	8.34839e-005	8.69736e-005	9.03799e-005	-107.425	10.0518	1.01349	8.83706e-005	0.335204	0.335729	0.329067
9.917	0.0371867	0.0385867	0.03783	8.67687e-005	7.64122e-005	7.72156e-005	-110.911	9.50132	0.958084	8.94967e-005	0.335259	0.335449	0.329292
9.916	0.0391033	0.03715	0.0364567	8.29239e-005	8.87992e-005	8.24806e-005	-107.429	10.0254	1.01103	9.05612e-005	0.335486	0.334987	0.329528
9.915	0.0396067	0.03782	0.0365067	8.48614e-005	8.44627e-005	8.01767e-005	-107.93	9.7133	0.979657	9.16846e-005	0.335479	0.335174	0.329347
9.914	0.0392533	0.04103	0.0372833	8.61003e-005	9.40505e-005	7.95293e-005	-109.117	9.84821	0.993364	9.27731e-005	0.335103	0.335328	0.329569
9.913	0.03818	0.0389933	0.0395267	8.33719e-005	8.81567e-005	8.86802e-005	-106.55	10.2901	1.03804	9.38768e-005	0.335176	0.335133	0.329691
9.912	0.03836	0.03792	0.03853	8.84135e-005	8.07379e-005	8.36164e-005	-109.492	9.33288	0.941573	9.50302e-005	0.335663	0.335369	0.328968
9.911	0.0399367	0.03973	0.0394967	8.99479e-005	9.46024e-005	8.2768e-005	-105.859	9.49149	0.957672	9.60764e-005	0.335363	0.334727	0.32991
9.91	0.03845	0.0382067	0.03753	8.46404e-005	8.09357e-005	7.57169e-005	-108.034	8.76766	0.884728	9.71405e-005	0.335449	0.33498	0.329571
9.909	0.0380333	0.03774	0.0376833	8.3863e-005	7.88153e-005	9.03331e-005	-106.81	9.47123	0.955821	9.81235e-005	0.335201	0.335398	0.329401
9.908	0.0403167	0.03938	0.0386133	8.91939e-005	8.94041e-005	7.98154e-005	-108.552	9.64708	0.973666	9.91856e-005	0.33576	0.335337	0.328903
9.907	0.0402233	0.03814	0.0384867	9.45196e-005	8.14807e-005	7.81915e-005	-108.236	9.70347	0.979456	0.000100267	0.335401	0.335047	0.329552
9.906	0.04049	0.0383233	0.03799	9.28207e-005	8.32963e-005	8.71564e-005	-107.081	10.0668	1.01623	0.000101356	0.335306	0.335371	0.329323
9.905	0.0377067	0.03715	0.03787	8.14747e-005	8.24454e-005	8.59551e-005	-107.535	9.55729	0.964896	0.000102485	0.335452	0.33517	0.329378
9.904	0.03844	0.03733	0.0370967	8.94307e-005	8.34045e-005	8.58602e-005	-108.363	10.3017	1.04015	0.000103557	0.335304	0.335071	0.329624
9.903	0.04056	0.0377033	0.0388733	8.74278e-005	8.09163e-005	8.72505e-005	-107.775	9.90593	1.0003	0.000104713	0.335196	0.335303	0.329501
9.902	0.03864	0.0389033	0.0379067	8.21378e-005	8.27114e-005	8.9059e-005	-108.416	9.62905	0.972435	0.000105824	0.335528	0.335024	0.329448
9.901	0.0399733	0.0366167	0.0375933	9.25001e-005	8.44705e-005	7.45051e-005	-107.573	9.22987	0.932216	0.000106905	0.335247	0.33525	0.329503
9.9	0.0380333	0.0380333	0.0377067	8.63029e-005	7.6074e-005	9.18436e-005	-109.087	9.20095	0.929389	0.00010794	0.335099	0.335088	0.329813
9.899	0.0374533	0.0397033	0.03943	8.12588e-005	9.28119e-005	9.09405e-005	-110.648	9.99584	1.00978	0.000108973	0.335727	0.335544	0.328729
9.898	0.0381233	0.0385433	0.03817	9.01866e-005	8.36533e-005	8.35922e-005	-107.076	9.88664	0.998852	0.000110095	0.335481	0.334833	0.329686
9.897	0.03962	0.0388133	0.0398	8.92358e-005	9.29634e-005	8.71694e-005	-107.043	9.99791	1.0102	0.000111205	0.335619	0.334819	0.329562
