Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.127	0.206277	0.642703	0.712727	0.172012	0.174757	0.128495	-899.989	0.674499	5.31102	4.98142e-005	0.455198	0.45422	0.0905822
0.128	0.648977	0.312633	0.66021	0.196336	0.219205	0.388582	-899.99	0.604248	4.72069	5.57153e-005	0.455427	0.454056	0.0905178
0.129	0.75494	0.365757	0.498867	0.137511	0.460184	0.217966	-899.992	0.476894	3.69686	6.09605e-005	0.456091	0.453334	0.0905744
0.13	0.6561	0.497917	0.462357	0.37069	0.53544	0.534066	-899.977	1.32964	10.228	6.50681e-005	0.453931	0.455293	0.0907756
0.131	0.59055	0.432143	0.56568	0.57768	0.532503	0.498066	-899.981	1.08613	8.29103	7.64326e-005	0.454538	0.45486	0.0906022
0.132	0.73523	0.314507	0.520037	0.1172	0.426638	0.284115	-899.971	1.6161	12.2432	8.56449e-005	0.453589	0.456102	0.0903089
0.133	0.69014	0.712617	0.203887	0.13009	0.14509	0.174881	-899.968	1.75114	13.1665	9.92485e-005	0.454961	0.454516	0.0905233
0.134	0.604447	0.38896	0.58088	0.381496	0.351628	0.330771	-899.978	1.19826	8.94226	0.000113878	0.453341	0.456094	0.0905644
0.135	0.756837	0.294593	0.5163	0.0530532	0.398038	0.313031	-899.964	1.9042	14.1052	0.000123814	0.453692	0.455947	0.0903611
0.136	0.53621	0.57117	0.50862	0.462558	0.537801	0.664263	-899.972	1.47145	10.8195	0.000139486	0.453218	0.455562	0.09122
0.137	0.35367	0.68317	0.532513	0.299356	0.289964	0.359818	-899.974	1.34925	9.84851	0.000151508	0.453338	0.456273	0.0903889
0.138	0.51674	0.54925	0.514077	0.536168	0.388668	0.529649	-899.976	1.22999	8.913	0.000162451	0.45516	0.454473	0.0903667
0.139	0.291393	0.62061	0.68769	0.164112	0.210688	0.194877	-899.956	2.17711	15.6627	0.000172354	0.453919	0.45547	0.0906111
0.14	0.36108	0.59489	0.60884	0.519629	0.305108	0.404888	-899.958	2.46102	17.5787	0.000189757	0.45453	0.454533	0.0909367
0.141	0.545867	0.502803	0.561313	0.274026	0.66591	0.459674	-899.964	1.74559	12.38	0.000209289	0.454126	0.455209	0.0906656
0.142	0.61132	0.534917	0.462007	0.394232	0.624942	0.358914	-899.971	1.3965	9.8345	0.000223044	0.454582	0.454557	0.0908611
0.143	0.195007	0.683903	0.68917	0.169231	0.164917	0.122924	-899.973	1.28471	8.98397	0.000233972	0.454591	0.454576	0.0908333
0.144	0.31183	0.546623	0.764463	0.266709	0.323822	0.0788875	-899.962	1.76292	12.2425	0.000243954	0.452373	0.456948	0.0906789
0.145	0.51649	0.651487	0.467443	0.630362	0.282709	0.331223	-899.945	2.56718	17.7047	0.000257557	0.454309	0.455198	0.0904933
0.146	0.51951	0.59708	0.48409	0.571506	0.38003	0.382805	-899.957	2.02435	13.8654	0.000277229	0.45458	0.45492	0.0905
0.147	0.490873	0.65855	0.44603	0.506961	0.33358	0.355148	-899.965	1.56301	10.6327	0.000292635	0.452157	0.45743	0.0904133
0.148	0.43206	0.485123	0.698207	0.392838	0.408512	0.243039	-899.937	2.8776	19.4433	0.000304449	0.455477	0.453891	0.0906322
0.149	0.433657	0.583153	0.58955	0.304765	0.30523	0.453473	-899.936	2.69826	18.1091	0.000326052	0.454038	0.455216	0.0907467
0.15	0.70189	0.643633	0.280443	0.261533	0.171121	0.177816	-899.94	2.59556	17.3037	0.000346174	0.45587	0.453594	0.0905356
0.151	0.424517	0.730947	0.447993	0.403092	0.162271	0.285698	-899.926	3.35617	22.2263	0.0003654	0.453567	0.456121	0.0903122
0.152	0.538777	0.474937	0.562233	0.315896	0.298297	0.608528	-899.936	2.93906	19.3359	0.000390096	0.453687	0.455702	0.0906111
0.153	0.637797	0.390733	0.609927	0.414892	0.297431	0.312264	-899.946	2.43855	15.9382	0.00041158	0.455532	0.453776	0.0906922
0.154	0.635557	0.59435	0.381783	0.329587	0.400455	0.318564	-899.912	3.72137	24.1647	0.000429289	0.454801	0.454458	0.0907411
0.155	0.419403	0.644837	0.54396	0.629432	0.24899	0.347506	-899.933	2.9349	18.9348	0.000456139	0.455046	0.454001	0.0909533
0.156	0.386417	0.746113	0.451247	0.355147	0.101214	0.379756	-899.928	3.07429	19.707	0.000477178	0.452406	0.456798	0.0907967
0.157	0.686073	0.65349	0.231033	0.191209	0.19913	0.250328	-899.906	4.02304	25.6245	0.000499074	0.45581	0.453864	0.0903256
0.158	0.590223	0.52463	0.47554	0.310557	0.531362	0.351374	-899.925	3.25969	20.631	0.000527546	0.45445	0.455046	0.0905044
0.159	0.734843	0.51078	0.399827	0.221258	0.313159	0.235484	-899.909	3.58843	22.5687	0.000550469	0.452098	0.456854	0.0910478
0.16	0.423447	0.5698	0.625917	0.312573	0.3303	0.447643	-899.905	3.74902	23.4314	0.000575546	0.453574	0.455367	0.0910589
0.161	0.6337	0.318123	0.62927	0.188701	0.371733	0.362411	-899.891	4.13252	25.6678	0.000601581	0.453726	0.455337	0.0909378
0.162	0.33799	0.686527	0.586973	0.264798	0.267508	0.237455	-899.902	3.44444	21.262	0.0006301	0.454472	0.454684	0.0908433
0.163	0.714887	0.310487	0.543797	0.0949206	0.234091	0.312014	-899.913	3.21544	19.7266	0.000653725	0.453611	0.455841	0.0905478
0.164	0.4722	0.708983	0.435897	0.301567	0.220046	0.270269	-899.886	4.20152	25.619	0.000675643	0.455609	0.453511	0.09088
0.165	0.448997	0.607127	0.56496	0.296537	0.376976	0.382548	-899.891	3.7142	22.5103	0.000704109	0.453511	0.455583	0.0909056
0.166	0.6666	0.487087	0.40906	0.234277	0.443099	0.297808	-899.878	4.46785	26.9147	0.00072912	0.455436	0.453993	0.0905711
0.167	0.40769	0.462027	0.741477	0.351698	0.401736	0.0909174	-899.855	5.37757	32.201	0.000759025	0.455422	0.453431	0.0911467
0.168	0.64093	0.24221	0.72069	0.163342	0.131147	0.109429	-899.889	3.77973	22.4984	0.000794804	0.45498	0.453917	0.0911033
0.169	0.655283	0.255	0.654463	0.15753	0.195132	0.202668	-899.876	4.64353	27.4765	0.000819803	0.45483	0.454566	0.0906044
0.17	0.654103	0.520473	0.461223	0.299101	0.310441	0.406025	-899.851	5.21796	30.6939	0.000850332	0.453712	0.455154	0.0911333
0.171	0.705993	0.591653	0.292373	0.110472	0.353846	0.234642	-899.867	4.55904	26.6611	0.000884436	0.454776	0.454264	0.09096
0.172	0.692157	0.39698	0.53105	0.205202	0.353367	0.389762	-899.852	5.20876	30.2835	0.00091406	0.454287	0.455329	0.0903844
0.173	0.536407	0.628227	0.459773	0.540158	0.315781	0.26746	-899.84	5.2257	30.2064	0.000947708	0.45488	0.454102	0.0910178
0.174	0.37995	0.621687	0.570843	0.457113	0.315734	0.345129	-899.819	5.9532	34.2138	0.000981271	0.454081	0.454966	0.0909533
0.175	0.60268	0.44134	0.578547	0.308635	0.459938	0.244237	-899.838	5.21652	29.8087	0.00101929	0.454788	0.454334	0.0908778
0.176	0.444293	0.547257	0.571623	0.385681	0.468181	0.309602	-899.814	6.24367	35.4754	0.00105241	0.453602	0.455596	0.0908022
0.177	0.633237	0.317203	0.628333	0.211649	0.194048	0.211116	-899.796	6.26844	35.4149	0.00109182	0.454757	0.454357	0.0908867
0.178	0.521703	0.351977	0.74827	0.393493	0.30849	0.0767196	-899.822	5.43858	30.5538	0.00113117	0.454954	0.453973	0.0910722
0.179	0.530807	0.700233	0.363273	0.206743	0.280565	0.252315	-899.808	6.27746	35.0696	0.00116512	0.452674	0.456246	0.09108
0.18	0.650127	0.65828	0.27037	0.214827	0.157873	0.18551	-899.814	5.72235	31.7908	0.00120409	0.454378	0.45463	0.0909922
0.181	0.501973	0.372023	0.741333	0.265386	0.314176	0.139186	-899.811	5.83862	32.2576	0.00123941	0.456982	0.451874	0.0911433
0.182	0.423407	0.7069	0.454403	0.407064	0.0880224	0.371027	-899.791	5.77584	31.7354	0.00127525	0.455011	0.454119	0.09087
0.183	0.440517	0.658003	0.51745	0.221	0.395669	0.295886	-899.744	7.71788	42.1742	0.00131052	0.456334	0.45276	0.0909056
0.184	0.701607	0.241627	0.632613	0.14522	0.126316	0.122016	-899.772	6.73488	36.6026	0.00135738	0.453821	0.455583	0.0905956
0.185	0.47526	0.542587	0.589567	0.409792	0.381776	0.209663	-899.775	6.20526	33.5419	0.00139804	0.453642	0.455009	0.0913489
0.186	0.666117	0.51983	0.40273	0.24772	0.342434	0.3396	-899.736	7.75535	41.6954	0.00143531	0.456064	0.452983	0.0909522
0.187	0.50314	0.668903	0.433857	0.323297	0.280825	0.348615	-899.765	6.91398	36.9732	0.00148164	0.455194	0.453892	0.0909133
0.188	0.440207	0.739567	0.444687	0.370654	0.133114	0.283878	-899.744	7.65233	40.7039	0.00152272	0.452692	0.456163	0.0911444
0.189	0.742643	0.491017	0.325147	0.0473973	0.285286	0.268647	-899.756	6.84371	36.2101	0.00156795	0.455536	0.453858	0.0906067
0.19	0.543523	0.563363	0.477627	0.355273	0.298729	0.343689	-899.696	8.02172	42.2196	0.00160818	0.455524	0.45324	0.0912356
0.191	0.696917	0.30558	0.641917	0.151435	0.125334	0.186397	-899.729	7.27938	38.1119	0.00165509	0.454969	0.453562	0.0914689
0.192	0.41391	0.44148	0.76202	0.317516	0.221624	0.0683469	-899.725	7.79555	40.6018	0.00169744	0.453268	0.455687	0.0910456
0.193	0.644983	0.51666	0.45643	0.278318	0.404652	0.394414	-899.672	8.54831	44.2918	0.00174255	0.455227	0.45322	0.0915533
0.194	0.484677	0.572543	0.52329	0.33803	0.296951	0.290927	-899.682	8.41949	43.3994	0.00179177	0.455328	0.453769	0.0909033
0.195	0.7534	0.470023	0.327607	0.0596089	0.247473	0.213649	-899.677	8.27537	42.4378	0.00183999	0.453744	0.455661	0.0905944
0.196	0.621967	0.475513	0.51464	0.268492	0.292733	0.389134	-899.678	10.0041	51.0411	0.00188714	0.453627	0.454998	0.0913756
0.197	0.454783	0.747097	0.390647	0.249181	0.0894755	0.309467	-899.634	10.4111	52.8482	0.00194385	0.456474	0.452692	0.0908333
0.198	0.411177	0.561923	0.6189	0.26117	0.423307	0.230005	-899.644	8.9599	45.252	0.00200257	0.455918	0.452991	0.0910911
0.199	0.596057	0.288973	0.712957	0.237984	0.202878	0.130294	-899.62	9.08058	45.631	0.00205285	0.455684	0.45316	0.0911556
0.2	0.373973	0.51656	0.732873	0.351331	0.181366	0.150627	-899.66	8.36	41.8	0.00210356	0.45524	0.45352	0.09124
0.201	0.604057	0.477577	0.48159	0.277763	0.391122	0.289041	-899.572	10.5645	52.5597	0.00215	0.454609	0.45427	0.0911211
0.202	0.409633	0.410853	0.775597	0.253233	0.273465	0.0366887	-899.681	7.92175	39.2166	0.0022084	0.456374	0.452596	0.09103
0.203	0.543647	0.44822	0.5792	0.282478	0.431425	0.348565	-899.596	9.62858	47.4314	0.00225197	0.454594	0.454172	0.0912333
0.204	0.73621	0.40161	0.442197	0.0465679	0.348193	0.439183	-899.611	9.21951	45.1937	0.00230467	0.453951	0.454806	0.0912433
0.205	0.563963	0.427837	0.639377	0.393631	0.231362	0.225041	-899.576	10.047	49.0096	0.00235489	0.454982	0.454301	0.0907167
0.206	0.555427	0.371993	0.714177	0.23691	0.114551	0.132396	-899.626	7.92073	38.4501	0.00240935	0.453401	0.455198	0.0914011
0.207	0.550773	0.73327	0.327607	0.259984	0.103094	0.235889	-899.578	9.33315	45.0877	0.00245207	0.455858	0.452652	0.09149
0.208	0.54136	0.74705	0.34193	0.237608	0.0932324	0.202329	-899.586	9.67557	46.5172	0.00250216	0.455469	0.452891	0.09164
0.209	0.39152	0.588363	0.59968	0.400516	0.252549	0.275845	-899.578	10.0711	48.1871	0.00255385	0.454638	0.454112	0.09125
0.21	0.604293	0.30754	0.688843	0.198882	0.173514	0.178224	-899.532	10.7704	51.2878	0.00260739	0.455281	0.453313	0.0914056
0.211	0.677103	0.586857	0.355813	0.223826	0.156899	0.259149	-899.503	10.6465	50.4572	0.00266438	0.455566	0.452834	0.0916
