Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.895	0.0327778	0.0319167	0.0308403	6.34201e-005	5.62778e-005	5.50147e-005	-154.186	14.1047	1.42544	0.000113675	0.334898	0.335336	0.329766
9.894	0.0316111	0.0310324	0.0335278	5.79789e-005	5.60236e-005	6.38898e-005	-154.246	13.4126	1.35563	0.000114774	0.3356	0.334961	0.32944
9.893	0.0307477	0.0329769	0.0318704	5.53445e-005	6.18054e-005	5.52672e-005	-155.352	14.1664	1.43196	0.00011582	0.335551	0.33524	0.329209
9.892	0.032919	0.0322917	0.0315486	6.02389e-005	6.12667e-005	5.57414e-005	-154.635	14.2741	1.44299	0.000116925	0.335336	0.335171	0.329494
9.891	0.0325926	0.0319676	0.033963	5.69639e-005	5.51688e-005	5.7881e-005	-153.891	14.5441	1.47044	0.000118039	0.335523	0.335423	0.329054
9.89	0.031294	0.0322407	0.0334861	5.42737e-005	5.75793e-005	6.22323e-005	-154.045	14.2077	1.43658	0.000119173	0.335092	0.335207	0.329701
9.889	0.0315833	0.0325486	0.0325093	6.19224e-005	6.07552e-005	6.09453e-005	-155.802	13.6596	1.38129	0.000120282	0.335257	0.335461	0.329282
9.888	0.0328426	0.0311481	0.0325208	5.98192e-005	5.65143e-005	5.99742e-005	-155.882	14.9433	1.51125	0.000121348	0.33566	0.335123	0.329217
9.887	0.0317222	0.0306157	0.0323634	6.54561e-005	5.68479e-005	6.41035e-005	-154.719	12.9368	1.30847	0.000122514	0.335198	0.334915	0.329887
9.886	0.0334352	0.0308981	0.0319398	6.14878e-005	5.83409e-005	5.69383e-005	-155.662	12.9304	1.30795	0.000123523	0.335687	0.335444	0.328869
9.885	0.0341366	0.0324653	0.0314398	6.14128e-005	6.0685e-005	6.13349e-005	-154.128	14.393	1.45604	0.000124533	0.335535	0.335279	0.329185
