Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
5.851	0.0343287	0.0320066	0.0332027	0.000114477	0.000104088	0.000108674	-137.63	21.0449	3.5968	0.00771679	0.297987	0.297987	0.404027
5.85	0.0328569	0.033234	0.0334997	0.000104886	0.000103491	0.00010987	-135.967	18.8007	3.2138	0.00772078	0.297869	0.297869	0.404262
5.849	0.0321034	0.0329503	0.0332562	0.000102477	0.000106584	0.000104677	-135.456	18.925	3.23559	0.00772435	0.298005	0.298005	0.40399
5.848	0.0341903	0.0335468	0.0328084	0.000111775	0.000113532	0.000101178	-135.139	20.9427	3.58117	0.00772795	0.297662	0.297662	0.404675
5.847	0.0339907	0.0334285	0.0333977	0.000114859	0.000109658	0.000103786	-136.063	20.4224	3.49281	0.00773193	0.297906	0.297906	0.404188
5.846	0.0346203	0.0333043	0.0328707	0.000118904	0.000106468	0.000110407	-136.4	20.4239	3.49366	0.00773581	0.298421	0.298421	0.403159
5.845	0.0332737	0.0329546	0.0324055	0.000110679	0.00010314	0.000103348	-139.74	20.3547	3.48241	0.00773969	0.297974	0.297974	0.404051
5.844	0.0337254	0.0338587	0.0334761	0.000114534	0.000115009	0.000112334	-136.991	19.9264	3.40972	0.00774356	0.298116	0.298116	0.403769
5.843	0.0341069	0.0332639	0.0333431	0.000112939	0.000113791	0.00010929	-137.894	21.7996	3.73089	0.00774735	0.298052	0.298052	0.403896
5.842	0.0344482	0.0343734	0.0335093	0.000114632	0.000110463	0.000115087	-139.663	21.1806	3.62558	0.0077515	0.297894	0.297894	0.404212
5.841	0.0332368	0.0336956	0.0334117	0.00010492	0.000109934	0.000106965	-135.252	19.5207	3.34201	0.00775552	0.29798	0.29798	0.40404
5.84	0.0337362	0.0329728	0.0331709	0.000110815	0.000109461	0.000106195	-138.551	19.3785	3.31823	0.00775924	0.297983	0.297983	0.404035
5.839	0.0330116	0.0338777	0.0335397	0.000102946	0.000111435	0.000110905	-136.105	19.6664	3.36811	0.00776292	0.298241	0.298241	0.403517
5.838	0.0344591	0.0338937	0.0349671	0.000119257	0.00011104	0.000118232	-136.142	19.4833	3.33733	0.00776667	0.298367	0.298367	0.403267
5.837	0.0333752	0.0339816	0.0330434	0.000113015	0.000110071	0.000102555	-136.823	19.6675	3.36945	0.00777037	0.298277	0.298277	0.403447
5.836	0.0340196	0.033644	0.0341387	0.000112037	0.000112014	0.000112482	-135.454	19.9921	3.42565	0.00777412	0.297817	0.297817	0.404366
5.835	0.0342749	0.0343057	0.0334052	0.000116052	0.000115158	0.000116226	-135.854	19.8821	3.40738	0.00777792	0.297533	0.297533	0.404934
5.834	0.0342305	0.0339026	0.0337447	0.000117605	0.000114012	0.000114337	-137.818	20.9341	3.5883	0.00778171	0.29835	0.29835	0.403301
5.833	0.0339051	0.0330573	0.0337818	0.000108927	0.00010758	0.000111836	-136.102	19.9951	3.42792	0.0077857	0.298061	0.298061	0.403878
5.832	0.0323744	0.0334502	0.0319551	0.000103328	0.00010812	9.95681e-005	-135.983	19.1985	3.29192	0.00778951	0.298086	0.298086	0.403827
5.831	0.0343314	0.034341	0.0335332	0.000112929	0.000115976	0.000115055	-136.779	20.5141	3.5181	0.00779316	0.298294	0.298294	0.403413
5.83	0.0339909	0.0346613	0.0347521	0.00011172	0.000119671	0.000119175	-136.384	20.7123	3.55271	0.00779707	0.297955	0.297955	0.40409
5.829	0.0339317	0.0340582	0.0324312	0.000110035	0.000115532	0.000105236	-137.05	19.6269	3.36712	0.00780102	0.298022	0.298022	0.403955
