Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.815	-0.0143289	0.0143289	0.00624747	0.00624747	-579.217	786.648	433.415	0.832525	0	0	0.352802	0.294396	0.352802	0	0
1.816	0.00124154	-0.00124154	0.00789481	0.00789481	-584.737	706.12	388.833	0.833007	0	0	0.353371	0.293258	0.353371	0	0
1.817	-0.0305418	0.0305418	0.00801129	0.00801129	-578.043	679.868	374.171	0.833439	0	0	0.352605	0.294789	0.352605	0	0
1.818	-0.0129557	0.0129557	0.00784372	0.00784372	-583.343	802.294	441.306	0.833854	0	0	0.353107	0.293786	0.353107	0	0
1.819	-0.0150983	0.0150983	0.00586237	0.00586237	-577.562	665.805	366.028	0.834345	0	0	0.352584	0.294831	0.352584	0	0
1.82	-0.0235021	0.0235021	0.00761747	0.00761747	-572.634	874.141	480.297	0.834751	0	0	0.352051	0.295899	0.352051	0	0
1.821	0.0455157	-0.0455157	0.00929229	0.00929229	-576.908	706.937	388.213	0.835285	0	0	0.35308	0.29384	0.35308	0	0
1.822	-0.000179346	0.000179346	0.0076558	0.0076558	-578.631	758.028	416.042	0.835717	0	0	0.353291	0.293418	0.353291	0	0
1.823	-0.0105675	0.0105675	0.0102747	0.0102747	-588.614	777.085	426.267	0.836179	0	0	0.353432	0.293136	0.353432	0	0
1.824	0.0506006	-0.0506006	0.00858068	0.00858068	-581.47	796.066	436.439	0.836652	0	0	0.352746	0.294508	0.352746	0	0
1.825	-0.0133017	0.0133017	0.00750238	0.00750238	-576.264	810.399	444.054	0.837137	0	0	0.352209	0.295582	0.352209	0	0
1.826	-0.0228946	0.0228946	0.00997563	0.00997563	-574.984	773.252	423.468	0.837631	0	0	0.351716	0.296568	0.351716	0	0
1.827	0.0382528	-0.0382528	0.00562715	0.00562715	-570.273	683.428	374.071	0.838101	0	0	0.351409	0.297183	0.351409	0	0
1.828	0.0388752	-0.0388752	0.00757484	0.00757484	-572.693	724.896	396.551	0.838517	0	0	0.351757	0.296485	0.351757	0	0
1.829	-0.0610226	0.0610226	0.00650913	0.00650913	-576.795	930.558	508.779	0.838958	0	0	0.352287	0.295426	0.352287	0	0
1.83	0.00344924	-0.00344924	0.00587959	0.00587959	-576.774	615.907	336.561	0.839523	0	0	0.352262	0.295476	0.352262	0	0
1.831	-0.0371336	0.0371336	0.0051987	0.0051987	-570.63	755.959	412.866	0.839897	0	0	0.351382	0.297237	0.351382	0	0
1.832	0.00339772	-0.00339772	0.00884338	0.00884338	-583.543	681.262	371.868	0.840356	0	0	0.352994	0.294012	0.352994	0	0
1.833	-0.0244615	0.0244615	0.0104272	0.0104272	-579.265	617.272	336.755	0.840769	0	0	0.35271	0.294581	0.35271	0	0
1.834	0.0102374	-0.0102374	0.00732875	0.00732875	-572.935	783.017	426.945	0.841143	0	0	0.351206	0.297588	0.351206	0	0
1.835	-0.00352046	0.00352046	0.00606274	0.00606274	-571.253	654.099	356.457	0.841617	0	0	0.351913	0.296173	0.351913	0	0
1.836	-0.0083606	0.0083606	0.00602284	0.00602284	-572.787	815.441	444.14	0.842013	0	0	0.351636	0.296729	0.351636	0	0
