Temperature_K	Magnetism_One_K	Magnetism_Two_K	Magnetism_Three_K	Susceptibility_One_K	Susceptibility_Two_K	Susceptibility_Three_K	Energy_K	Heat_Capacity_K	Heat_Capacity_Over_Temp_K	Entropy_K	Prob1	Prob_neg1	Prob0
9.891	-0.00122018	0.00396108	-0.0027409	0.000175588	0.000173621	0.000165627	-97.4538	10.2647	1.03778	1.09848	0.335482	0.335482	0.329037
9.89	-0.000301622	0.000609985	-0.000308363	0.000189324	0.000176294	0.000189308	-105.646	9.83473	0.994412	1.09848	0.334935	0.334935	0.330131
9.889	-0.000166122	6.51296e-005	0.000100993	0.000187954	0.000184374	0.000186345	-112.118	8.64971	0.87468	1.09848	0.335104	0.335104	0.329793
9.888	-0.00162101	-0.00150056	0.00312157	0.000190441	0.000186446	0.000180365	-105.611	10.0446	1.01583	1.09848	0.335356	0.335356	0.329288
9.887	0.0017956	-0.000830211	-0.000965385	0.000176769	0.00019098	0.000182764	-107.94	9.12375	0.922802	1.09848	0.335112	0.335112	0.329777
9.886	-0.00223758	0.00386443	-0.00162685	0.000162267	0.000188078	0.000190763	-112.76	9.84785	0.996141	1.09848	0.335199	0.335199	0.329603
9.885	0.00197474	0.000935226	-0.00290997	0.000185584	0.000179709	0.000177977	-110.855	8.5565	0.865605	1.09848	0.335557	0.335557	0.328886
9.884	0.000577656	-0.0027121	0.00213444	0.000189625	0.000186023	0.00019311	-113.344	8.46319	0.856252	1.09848	0.335127	0.335127	0.329746
9.883	0.0018443	-0.00189464	5.03407e-005	0.000196209	0.000204277	0.000195055	-109.459	8.87948	0.89846	1.09847	0.334974	0.334974	0.330052
9.882	-0.00546719	0.00241553	0.00305166	0.000185111	0.000187626	0.000188751	-113.964	10.3941	1.05183	1.09847	0.335599	0.335599	0.328801
9.881	-0.00103928	0.00305268	-0.0020134	0.000194991	0.000183783	0.000172138	-106.806	9.79861	0.991661	1.09847	0.335421	0.335421	0.329158
9.88	2.12778e-005	0.00277824	-0.00279951	0.000171102	0.000184401	0.000185309	-106.673	9.534	0.964979	1.09847	0.335272	0.335272	0.329455
9.879	-0.000268	-8.1737e-005	0.000349737	0.000178784	0.00016681	0.000182068	-109.534	10.234	1.03594	1.09847	0.335127	0.335127	0.329745
9.878	0.00130999	-0.000322304	-0.000987685	0.000185268	0.000182555	0.000188369	-109.735	9.24982	0.936407	1.09847	0.334767	0.334767	0.330466
9.877	-0.00284916	0.000909196	0.00193996	0.000178687	0.000186538	0.000186105	-109.513	9.70299	0.982383	1.09847	0.335112	0.335112	0.329777
9.876	0.00114333	-0.00307998	0.00193665	0.000184292	0.000194933	0.000184636	-105.561	10.9758	1.11136	1.09847	0.334998	0.334998	0.330005
9.875	0.00147566	-0.000475089	-0.00100057	0.000182777	0.000178538	0.000176142	-109.577	9.26535	0.938263	1.09847	0.334884	0.334884	0.330232
9.874	0.00237361	-0.00259231	0.000218696	0.000176786	0.000181367	0.000176953	-106.659	9.47909	0.960005	1.09847	0.335271	0.335271	0.329457
9.873	0.00116772	0.00440512	-0.00557284	0.000177321	0.000186848	0.000182357	-110.323	11.9055	1.20586	1.09846	0.334794	0.334794	0.330413
9.872	0.00157709	-0.00100922	-0.000567867	0.000177078	0.000185024	0.000189409	-110.642	9.04404	0.91613	1.09846	0.335009	0.335009	0.329981
9.871	-0.00375784	0.00451	-0.000752163	0.000174834	0.00017743	0.000176386	-109.35	11.0678	1.12124	1.09846	0.335253	0.335253	0.329495
9.87	0.000970904	-0.00123569	0.000264789	0.000178598	0.000188519	0.000168819	-111.302	9.99003	1.01216	1.09846	0.334929	0.334929	0.330141
9.869	0.00086407	-0.000468044	-0.000396026	0.000172	0.000169988	0.000173491	-103.648	10.1099	1.02441	1.09846	0.335087	0.335087	0.329826
9.868	0.00137677	-8.17926e-005	-0.00129497	0.000188299	0.000191994	0.000191799	-108.662	11.3578	1.15097	1.09846	0.335225	0.335225	0.32955
9.867	0.000251059	0.000693896	-0.000944956	0.000193942	0.000179539	0.000185421	-108.118	9.75925	0.98908	1.09846	0.335299	0.335299	0.329402
9.866	0.000461704	-0.0024594	0.0019977	0.000188592	0.000198122	0.000181502	-110.83	9.5208	0.965011	1.09846	0.335099	0.335099	0.329802
9.865	0.000770652	0.00171436	-0.00248501	0.000184117	0.000174894	0.000187595	-106.977	10.5961	1.07411	1.09845	0.335791	0.335791	0.328418
9.864	0.0009705	0.0012024	-0.0021729	0.00018021	0.000195148	0.000210083	-113.076	9.61749	0.975009	1.09845	0.334945	0.334945	0.330111
9.863	-0.000184126	-0.00157144	0.00175557	0.000186906	0.000189026	0.000189961	-105.499	10.8486	1.09993	1.09845	0.334738	0.334738	0.330525
9.862	0.00201151	-0.00502419	0.00301267	0.000202796	0.000205753	0.000193219	-109.077	9.31453	0.944487	1.09845	0.335002	0.335002	0.329996
9.861	-0.000637915	0.00077133	-0.000133415	0.000189043	0.000190504	0.000167746	-107.097	9.49293	0.962674	1.09845	0.335423	0.335423	0.329154
9.86	0.000645885	0.00116241	-0.00180829	0.000174159	0.000193076	0.00017734	-106.241	10.3612	1.05083	1.09845	0.335706	0.335706	0.328588
9.859	-0.00347435	-0.000302733	0.00377708	0.000183314	0.000176745	0.000178589	-108.362	9.82164	0.996211	1.09845	0.335542	0.335542	0.328916
