Temperature	Magnetism_One	Magntism_Two	Susceptibility_One	Susceptibility_Two	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob_S3	Prob_S2	Prob_S1	Prob_S0	Prob_S-1	Prob_S-2	Prob_S-3	
1.5	2.99978	2.99978	2.91836e-007	2.91836e-007	-16197.7	20.8417	13.8944	590.016	0.499891	0.000109235	0	0	0	0.000109235	0.499891
1.51	2.99998	2.99998	3.19847e-008	3.19847e-008	-16199.8	2.26908	1.5027	590.016	0.499989	1.09753e-005	0	0	0	1.09753e-005	0.499989
1.52	2.99979	2.99979	2.75393e-007	2.75393e-007	-16197.8	19.4086	12.7688	590.016	0.499896	0.000103901	0	0	0	0.000103901	0.499896
1.53	2.99986	2.99986	1.84748e-007	1.84748e-007	-16198.6	12.9352	8.45436	590.016	0.499932	6.77284e-005	0	0	0	6.77284e-005	0.499932
1.54	2.99985	2.99985	1.9903e-007	1.9903e-007	-16198.5	13.8447	8.99005	590.016	0.499926	7.38765e-005	0	0	0	7.38765e-005	0.499926
1.55	2.99999	2.99999	1.9036e-008	1.9036e-008	-16199.9	1.31561	0.848783	590.017	0.499993	6.67901e-006	0	0	0	6.67901e-006	0.499993
1.56	2.99953	2.99953	5.27541e-007	5.27541e-007	-16195.1	36.2258	23.2217	590.017	0.499765	0.000234778	0	0	0	0.000234778	0.499765
1.57	3	3	0	0	-16200	0	0	590.017	0.5	0	0	0	0	0	0.5
1.58	2.99979	2.99979	2.6211e-007	2.6211e-007	-16197.9	17.7708	11.2474	590.017	0.499897	0.000102667	0	0	0	0.000102667	0.499897
1.59	2.99993	2.99993	9.38453e-008	9.38453e-008	-16199.3	6.32267	3.97652	590.017	0.499965	3.46543e-005	0	0	0	3.46543e-005	0.499965
1.6	2.99997	2.99997	4.48364e-008	4.48364e-008	-16199.7	3.00188	1.87617	590.017	0.499984	1.63827e-005	0	0	0	1.63827e-005	0.499984
1.61	2.99999	2.99999	1.22536e-008	1.22536e-008	-16199.9	0.815311	0.506404	590.017	0.499996	4.45679e-006	0	0	0	4.45679e-006	0.499996
1.62	2.99968	2.99968	3.80098e-007	3.80098e-007	-16196.6	25.1341	15.5149	590.017	0.499838	0.000162235	0	0	0	0.000162235	0.499838
1.63	2.99997	2.99997	4.48932e-008	4.48932e-008	-16199.7	2.95035	1.81003	590.017	0.499983	1.6716e-005	0	0	0	1.6716e-005	0.499983
1.64	2.99971	2.99971	3.42213e-007	3.42213e-007	-16197	22.3531	13.63	590.017	0.499855	0.000145272	0	0	0	0.000145272	0.499855
1.65	2.99949	2.99949	5.32417e-007	5.32417e-007	-16194.7	34.5663	20.9493	590.017	0.499743	0.000257198	0	0	0	0.000257198	0.499743
1.66	2.99992	2.99992	1.06119e-007	1.06119e-007	-16199.1	6.84808	4.12535	590.018	0.499959	4.11605e-005	0	0	0	4.11605e-005	0.499959
1.67	3	3	0	0	-16200	0	0	590.018	0.5	0	0	0	0	0	0.5
1.68	2.99978	2.99978	2.65331e-007	2.65331e-007	-16197.7	16.9186	10.0706	590.018	0.499889	0.000111481	0	0	0	0.000111481	0.499889
1.69	2.9998	2.9998	2.40218e-007	2.40218e-007	-16197.9	15.2267	9.00986	590.018	0.4999	0.00010042	0	0	0	0.00010042	0.4999
1.7	2.99972	2.99972	3.20351e-007	3.20351e-007	-16197.1	20.1865	11.8744	590.018	0.49986	0.000140235	0	0	0	0.000140235	0.49986
1.71	2.99999	2.99999	1.59227e-008	1.59227e-008	-16199.9	0.997486	0.583325	590.018	0.499994	6.16049e-006	0	0	0	6.16049e-006	0.499994
1.72	3	3	0	0	-16200	0	0	590.018	0.5	0	0	0	0	0	0.5
