Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.076	-0.999885	0.999885	3.19265e-006	3.19265e-006	-1799.64	416.828	5484.58	2609.61	0	0	0.499942	0.000115156	0.499942	0	0
0.077	-0.999897	0.999897	2.82654e-006	2.82654e-006	-1799.68	364.237	4730.34	2609.62	0	0	0.499949	0.000102684	0.499949	0	0
0.078	-0.999752	0.999752	6.76972e-006	6.76972e-006	-1799.22	861.18	11040.8	2609.62	0	0	0.499876	0.000247896	0.499876	0	0
0.079	-0.999849	0.999849	3.95696e-006	3.95696e-006	-1799.52	496.996	6291.09	2609.64	0	0	0.499925	0.000150919	0.499925	0	0
0.08	-0.999895	0.999895	3.1044e-006	3.1044e-006	-1799.67	385.041	4813.02	2609.64	0	0	0.499948	0.000104914	0.499948	0	0
0.081	-0.999942	0.999942	1.55361e-006	1.55361e-006	-1799.82	190.317	2349.59	2609.65	0	0	0.499971	5.81506e-005	0.499971	0	0
0.082	-0.999878	0.999878	3.45059e-006	3.45059e-006	-1799.61	417.541	5091.96	2609.65	0	0	0.499939	0.000122388	0.499939	0	0
0.083	-0.999887	0.999887	3.08964e-006	3.08964e-006	-1799.65	369.36	4450.12	2609.66	0	0	0.499944	0.000112556	0.499944	0	0
0.084	-0.99994	0.99994	1.57194e-006	1.57194e-006	-1799.81	185.683	2210.52	2609.66	0	0	0.49997	6.02889e-005	0.49997	0	0
0.085	-0.999948	0.999948	1.33253e-006	1.33253e-006	-1799.84	155.553	1830.03	2609.66	0	0	0.499974	5.21951e-005	0.499974	0	0
0.086	-0.999953	0.999953	1.1776e-006	1.1776e-006	-1799.85	135.869	1579.87	2609.67	0	0	0.499977	4.65481e-005	0.499977	0	0
0.087	-0.999865	0.999865	3.73703e-006	3.73703e-006	-1799.58	426.214	4899.01	2609.67	0	0	0.499933	0.000134556	0.499933	0	0
0.088	-0.999886	0.999886	2.73587e-006	2.73587e-006	-1799.64	308.484	3505.5	2609.67	0	0	0.499943	0.00011421	0.499943	0	0
0.089	-0.999944	0.999944	1.35676e-006	1.35676e-006	-1799.82	151.263	1699.58	2609.68	0	0	0.499972	5.57358e-005	0.499972	0	0
0.09	-0.999944	0.999944	1.45453e-006	1.45453e-006	-1799.82	160.361	1781.79	2609.68	0	0	0.499972	5.56395e-005	0.499972	0	0
0.091	-0.999786	0.999786	5.64086e-006	5.64086e-006	-1799.33	615.069	6759	2609.68	0	0	0.499893	0.000213585	0.499893	0	0
0.092	-0.999809	0.999809	5.15779e-006	5.15779e-006	-1799.4	556.282	6046.55	2609.69	0	0	0.499905	0.000190857	0.499905	0	0
0.093	-0.999921	0.999921	1.81008e-006	1.81008e-006	-1799.75	193.122	2076.58	2609.7	0	0	0.499961	7.85259e-005	0.499961	0	0
0.094	-0.999917	0.999917	2.09188e-006	2.09188e-006	-1799.74	220.815	2349.1	2609.7	0	0	0.499959	8.25877e-005	0.499959	0	0
0.095	-0.999873	0.999873	2.81087e-006	2.81087e-006	-1799.6	293.586	3090.38	2609.7	0	0	0.499936	0.000127477	0.499936	0	0
0.096	-0.99989	0.99989	2.42759e-006	2.42759e-006	-1799.65	250.912	2613.66	2609.7	0	0	0.499945	0.000110351	0.499945	0	0
0.097	-0.999901	0.999901	2.16108e-006	2.16108e-006	-1799.69	221.064	2279.02	2609.71	0	0	0.499951	9.8716e-005	0.499951	0	0
0.098	-0.999838	0.999838	3.39726e-006	3.39726e-006	-1799.49	343.972	3509.92	2609.71	0	0	0.499919	0.000161565	0.499919	0	0
0.099	-0.999818	0.999818	4.4033e-006	4.4033e-006	-1799.43	441.33	4457.88	2609.71	0	0	0.499909	0.00018219	0.499909	0	0
0.1	-0.999887	0.999887	2.38846e-006	2.38846e-006	-1799.64	236.994	2369.94	2609.72	0	0	0.499943	0.000113252	0.499943	0	0
0.101	-0.999873	0.999873	2.94774e-006	2.94774e-006	-1799.6	289.593	2867.26	2609.72	0	0	0.499936	0.000127341	0.499936	0	0
0.102	-0.999921	0.999921	1.67005e-006	1.67005e-006	-1799.75	162.46	1592.75	2609.72	0	0	0.49996	7.94988e-005	0.49996	0	0
0.103	-0.999864	0.999864	2.7465e-006	2.7465e-006	-1799.57	264.583	2568.76	2609.73	0	0	0.499932	0.00013557	0.499932	0	0
0.104	-0.999886	0.999886	2.30376e-006	2.30376e-006	-1799.64	219.797	2113.43	2609.73	0	0	0.499943	0.000113625	0.499943	0	0
0.105	-0.999959	0.999959	8.52824e-007	8.52824e-007	-1799.87	80.5917	767.54	2609.73	0	0	0.499979	4.10543e-005	0.499979	0	0
0.106	-0.999783	0.999783	4.21803e-006	4.21803e-006	-1799.32	394.843	3724.93	2609.73	0	0	0.499891	0.000217279	0.499891	0	0
0.107	-0.999912	0.999912	1.75714e-006	1.75714e-006	-1799.72	162.946	1522.86	2609.74	0	0	0.499956	8.80988e-005	0.499956	0	0
0.108	-0.999882	0.999882	2.36974e-006	2.36974e-006	-1799.63	217.719	2015.92	2609.74	0	0	0.499941	0.00011802	0.499941	0	0
0.109	-0.999876	0.999876	2.38708e-006	2.38708e-006	-1799.61	217.299	1993.57	2609.74	0	0	0.499938	0.000124005	0.499938	0	0
0.11	-0.999857	0.999857	2.7059e-006	2.7059e-006	-1799.55	244.085	2218.95	2609.74	0	0	0.499928	0.000143165	0.499928	0	0
0.111	-0.999837	0.999837	3.02341e-006	3.02341e-006	-1799.49	270.267	2434.84	2609.75	0	0	0.499919	0.00016297	0.499919	0	0
0.112	-0.999875	0.999875	2.33909e-006	2.33909e-006	-1799.61	207.228	1850.25	2609.75	0	0	0.499938	0.000124911	0.499938	0	0
0.113	-0.999828	0.999828	3.11999e-006	3.11999e-006	-1799.46	273.965	2424.47	2609.75	0	0	0.499914	0.000171531	0.499914	0	0
0.114	-0.999936	0.999936	1.21975e-006	1.21975e-006	-1799.8	106.166	931.285	2609.75	0	0	0.499968	6.4442e-005	0.499968	0	0
0.115	-0.99987	0.99987	2.3693e-006	2.3693e-006	-1799.59	204.429	1777.64	2609.75	0	0	0.499935	0.000130244	0.499935	0	0
0.116	-0.999894	0.999894	2.18819e-006	2.18819e-006	-1799.67	187.175	1613.58	2609.76	0	0	0.499947	0.000105968	0.499947	0	0
0.117	-0.999913	0.999913	1.58903e-006	1.58903e-006	-1799.73	134.762	1151.81	2609.76	0	0	0.499956	8.70741e-005	0.499956	0	0
0.118	-0.999873	0.999873	2.34608e-006	2.34608e-006	-1799.6	197.279	1671.86	2609.76	0	0	0.499937	0.000126827	0.499937	0	0
0.119	-0.999887	0.999887	1.99567e-006	1.99567e-006	-1799.65	166.403	1398.35	2609.76	0	0	0.499944	0.00011257	0.499944	0	0
0.12	-0.999898	0.999898	1.80987e-006	1.80987e-006	-1799.68	149.654	1247.11	2609.76	0	0	0.499949	0.000102457	0.499949	0	0
0.121	-0.999872	0.999872	2.22157e-006	2.22157e-006	-1799.6	182.177	1505.59	2609.76	0	0	0.499936	0.00012838	0.499936	0	0
0.122	-0.999859	0.999859	2.4786e-006	2.4786e-006	-1799.56	201.589	1652.37	2609.77	0	0	0.49993	0.0001406	0.49993	0	0
0.123	-0.999907	0.999907	1.61294e-006	1.61294e-006	-1799.71	130.116	1057.85	2609.77	0	0	0.499953	9.31827e-005	0.499953	0	0
0.124	-0.999897	0.999897	1.76009e-006	1.76009e-006	-1799.68	140.842	1135.82	2609.77	0	0	0.499949	0.000102583	0.499949	0	0
0.125	-0.999909	0.999909	1.78378e-006	1.78378e-006	-1799.71	141.596	1132.77	2609.77	0	0	0.499954	9.10938e-005	0.499954	0	0
0.126	-0.999889	0.999889	1.87822e-006	1.87822e-006	-1799.65	147.908	1173.88	2609.77	0	0	0.499944	0.000111035	0.499944	0	0
0.127	-0.99988	0.99988	2.09745e-006	2.09745e-006	-1799.62	163.873	1290.34	2609.77	0	0	0.49994	0.000120407	0.49994	0	0
0.128	-0.999864	0.999864	2.21388e-006	2.21388e-006	-1799.57	171.618	1340.76	2609.77	0	0	0.499932	0.00013582	0.499932	0	0
0.129	-0.999871	0.999871	2.57548e-006	2.57548e-006	-1799.6	188.396	1460.44	2609.77	0	0	0.499936	0.000128815	0.499936	0	0
0.13	-0.999851	0.999851	2.3802e-006	2.3802e-006	-1799.53	181.672	1397.47	2609.78	0	0	0.499925	0.000149267	0.499925	0	0
0.131	-0.999942	0.999942	9.62144e-007	9.62144e-007	-1799.82	72.8762	556.307	2609.78	0	0	0.499971	5.82444e-005	0.499971	0	0
0.132	-0.999886	0.999886	1.8282e-006	1.8282e-006	-1799.64	137.426	1041.11	2609.78	0	0	0.499943	0.000114494	0.499943	0	0
0.133	-0.999777	0.999777	4.08065e-006	4.08065e-006	-1799.3	304.437	2289	2609.78	0	0	0.499889	0.000222696	0.499889	0	0
0.134	-0.99987	0.99987	2.02407e-006	2.02407e-006	-1799.59	149.878	1118.49	2609.78	0	0	0.499935	0.00012961	0.499935	0	0
0.135	-0.999919	0.999919	1.43695e-006	1.43695e-006	-1799.74	105.615	782.336	2609.78	0	0	0.499959	8.11037e-005	0.499959	0	0
0.136	-0.999857	0.999857	2.18851e-006	2.18851e-006	-1799.55	159.671	1174.05	2609.78	0	0	0.499928	0.000143158	0.499928	0	0
0.137	-0.999896	0.999896	1.65745e-006	1.65745e-006	-1799.67	120.044	876.231	2609.79	0	0	0.499948	0.00010422	0.499948	0	0
0.138	-0.999876	0.999876	2.34231e-006	2.34231e-006	-1799.61	168.417	1220.41	2609.79	0	0	0.499938	0.000124012	0.499938	0	0
0.139	-0.999954	0.999954	7.26431e-007	7.26431e-007	-1799.85	51.8562	373.066	2609.79	0	0	0.499977	4.64074e-005	0.499977	0	0
0.14	-0.999872	0.999872	1.91459e-006	1.91459e-006	-1799.6	135.696	969.255	2609.79	0	0	0.499936	0.00012799	0.499936	0	0
0.141	-0.999913	0.999913	1.31802e-006	1.31802e-006	-1799.73	92.7518	657.814	2609.79	0	0	0.499956	8.7037e-005	0.499956	0	0
0.142	-0.999741	0.999741	3.8396e-006	3.8396e-006	-1799.18	268.297	1889.42	2609.79	0	0	0.49987	0.000259151	0.49987	0	0
0.143	-0.999854	0.999854	2.11322e-006	2.11322e-006	-1799.54	146.632	1025.4	2609.79	0	0	0.499927	0.000145514	0.499927	0	0
0.144	-0.999861	0.999861	2.00859e-006	2.00859e-006	-1799.56	138.404	961.141	2609.79	0	0	0.499931	0.00013883	0.499931	0	0
0.145	-0.99989	0.99989	1.603e-006	1.603e-006	-1799.65	109.694	756.512	2609.79	0	0	0.499945	0.000110044	0.499945	0	0
0.146	-0.999844	0.999844	2.2126e-006	2.2126e-006	-1799.51	150.373	1029.95	2609.8	0	0	0.499922	0.00015637	0.499922	0	0
0.147	-0.999864	0.999864	1.93602e-006	1.93602e-006	-1799.57	130.68	888.982	2609.8	0	0	0.499932	0.000136444	0.499932	0	0
0.148	-0.999854	0.999854	2.16256e-006	2.16256e-006	-1799.54	144.986	979.632	2609.8	0	0	0.499927	0.000145827	0.499927	0	0
0.149	-0.999936	0.999936	9.45181e-007	9.45181e-007	-1799.8	62.9432	422.437	2609.8	0	0	0.499968	6.39975e-005	0.499968	0	0
0.15	-0.999927	0.999927	1.04941e-006	1.04941e-006	-1799.77	69.4182	462.788	2609.8	0	0	0.499963	7.32494e-005	0.499963	0	0
0.151	-0.999876	0.999876	1.71692e-006	1.71692e-006	-1799.61	112.821	747.161	2609.8	0	0	0.499938	0.000123531	0.499938	0	0
0.152	-0.999925	0.999925	1.06362e-006	1.06362e-006	-1799.76	69.433	456.796	2609.8	0	0	0.499962	7.53037e-005	0.499962	0	0
0.153	-0.999846	0.999846	2.08679e-006	2.08679e-006	-1799.51	135.333	884.532	2609.8	0	0	0.499923	0.000154402	0.499923	0	0
0.154	-0.999929	0.999929	9.90973e-007	9.90973e-007	-1799.78	63.8496	414.608	2609.8	0	0	0.499965	7.09383e-005	0.499965	0	0
0.155	-0.999899	0.999899	1.45931e-006	1.45931e-006	-1799.68	93.4186	602.7	2609.8	0	0	0.499949	0.000101015	0.499949	0	0
0.156	-0.999881	0.999881	1.60477e-006	1.60477e-006	-1799.63	102.072	654.307	2609.8	0	0	0.49994	0.00011903	0.49994	0	0
0.157	-0.999908	0.999908	1.27423e-006	1.27423e-006	-1799.71	80.5313	512.938	2609.8	0	0	0.499954	9.24741e-005	0.499954	0	0
0.158	-0.999872	0.999872	2.74556e-006	2.74556e-006	-1799.6	172.422	1091.28	2609.8	0	0	0.499936	0.000128395	0.499936	0	0
0.159	-0.999852	0.999852	1.92592e-006	1.92592e-006	-1799.54	120.187	755.896	2609.81	0	0	0.499926	0.000147602	0.499926	0	0
0.16	-0.99988	0.99988	1.58197e-006	1.58197e-006	-1799.62	98.1061	613.163	2609.81	0	0	0.49994	0.000120427	0.49994	0	0
0.161	-0.999907	0.999907	1.2253e-006	1.2253e-006	-1799.71	75.5158	469.042	2609.81	0	0	0.499954	9.26346e-005	0.499954	0	0
0.162	-0.999878	0.999878	1.61563e-006	1.61563e-006	-1799.61	98.9565	610.843	2609.81	0	0	0.499939	0.000122496	0.499939	0	0
0.163	-0.999772	0.999772	2.97466e-006	2.97466e-006	-1799.28	181.079	1110.92	2609.81	0	0	0.499886	0.000227867	0.499886	0	0
0.164	-0.99986	0.99986	1.77474e-006	1.77474e-006	-1799.56	107.376	654.735	2609.81	0	0	0.49993	0.000139765	0.49993	0	0
0.165	-0.999864	0.999864	1.7553e-006	1.7553e-006	-1799.57	105.556	639.736	2609.81	0	0	0.499932	0.000135686	0.499932	0	0
0.166	-0.99996	0.99996	5.22718e-007	5.22718e-007	-1799.87	31.2447	188.221	2609.81	0	0	0.49998	3.9758e-005	0.49998	0	0
0.167	-0.999923	0.999923	9.84966e-007	9.84966e-007	-1799.76	58.5223	350.433	2609.81	0	0	0.499962	7.66642e-005	0.499962	0	0
0.168	-0.999869	0.999869	2.13209e-006	2.13209e-006	-1799.59	125.926	749.562	2609.81	0	0	0.499934	0.0001314	0.499934	0	0
0.169	-0.999872	0.999872	1.64753e-006	1.64753e-006	-1799.6	96.7314	572.375	2609.81	0	0	0.499936	0.000127973	0.499936	0	0
0.17	-0.999908	0.999908	1.23683e-006	1.23683e-006	-1799.71	72.1902	424.648	2609.81	0	0	0.499954	9.22e-005	0.499954	0	0
0.171	-0.999871	0.999871	1.8966e-006	1.8966e-006	-1799.59	110.052	643.58	2609.81	0	0	0.499935	0.00012903	0.499935	0	0
0.172	-0.99989	0.99989	1.34878e-006	1.34878e-006	-1799.65	77.8091	452.379	2609.81	0	0	0.499945	0.000109822	0.499945	0	0
0.173	-0.99986	0.99986	1.6926e-006	1.6926e-006	-1799.56	97.0789	561.15	2609.81	0	0	0.49993	0.000139706	0.49993	0	0
0.174	-0.999896	0.999896	1.26845e-006	1.26845e-006	-1799.67	72.3337	415.711	2609.82	0	0	0.499948	0.000104205	0.499948	0	0
0.175	-0.999805	0.999805	2.7929e-006	2.7929e-006	-1799.39	158.356	904.892	2609.82	0	0	0.499903	0.000194798	0.499903	0	0
0.176	-0.999871	0.999871	1.64101e-006	1.64101e-006	-1799.59	92.5158	525.658	2609.82	0	0	0.499935	0.000129225	0.499935	0	0
0.177	-0.999832	0.999832	2.35017e-006	2.35017e-006	-1799.47	131.748	744.341	2609.82	0	0	0.499916	0.00016761	0.499916	0	0
0.178	-0.999823	0.999823	2.15015e-006	2.15015e-006	-1799.44	119.858	673.362	2609.82	0	0	0.499911	0.000177489	0.499911	0	0
0.179	-0.999861	0.999861	1.71956e-006	1.71956e-006	-1799.56	95.3202	532.515	2609.82	0	0	0.499931	0.000138704	0.499931	0	0
