0	1
0	0.997654	0.666666	-4.29501e+008	-1.#INF	1.#INF
1.46	0.996728	0.666664	-4.29501e+008	0	1.47718e-008
1.47	0.996682	0.666664	-4.29501e+008	0.296173	1.50261e-008
1.48	0.996605	0.666663	-4.29501e+008	0.438276	1.77003e-008
1.49	0.996682	0.666664	-4.29501e+008	0.288275	1.32261e-008
1.5	0.996204	0.666662	-4.29501e+008	0.284444	2.42659e-008
1.51	0.996543	0.666664	-4.29501e+008	0	1.39168e-008
1.52	0.996312	0.666662	-4.29501e+008	0.138504	2.2842e-008
1.53	0.995509	0.666637	-4.29501e+008	0.410099	1.44476e-007
1.54	0.996142	0.666662	-4.29501e+008	0.26986	2.02582e-008
1.55	0.996142	0.666661	-4.29501e+008	0.133195	2.62733e-008
1.56	0.995926	0.66666	-4.29501e+008	0.394477	3.22174e-008
1.57	0.996219	0.666662	-4.29501e+008	0.389468	2.28669e-008
1.58	0.99591	0.66666	-4.29501e+008	0.640923	3.08615e-008
1.59	0.995756	0.666661	-4.29501e+008	0.759464	2.46762e-008
1.6	0.995725	0.666661	-4.29501e+008	0.5	2.40695e-008
1.61	0.995756	0.666662	-4.29501e+008	0.370356	2.3778e-008
1.62	0.995849	0.666662	-4.29501e+008	0.243865	2.31373e-008
1.63	0.995401	0.66666	-4.29501e+008	0.843088	3.0676e-008
1.64	0.995463	0.666661	-4.29501e+008	0.594884	2.6667e-008
1.65	0.99517	0.666658	-4.29501e+008	0.352617	3.9159e-008
1.66	0.995324	0.666661	-4.29501e+008	0.580636	2.62409e-008
1.67	0.99483	0.666656	-4.29501e+008	0.688443	4.91629e-008
1.68	0.994336	0.666654	-4.29501e+008	1.02041	5.44498e-008
1.69	0.994954	0.666656	-4.29501e+008	0.448164	4.73072e-008
1.7	0.99483	0.66666	-4.29501e+008	0.66436	2.81227e-008
1.71	0.99446	0.66665	-4.29501e+008	0.766048	7.18892e-008
1.72	0.994367	0.666652	-4.29501e+008	0.865333	6.21335e-008
1.73	0.994043	0.66665	-4.29501e+008	0.748438	7.40659e-008
1.74	0.99412	0.666657	-4.29501e+008	0.845554	3.96081e-008
1.75	0.993441	0.666646	-4.29501e+008	1.25388	8.69246e-008
1.76	0.994275	0.666659	-4.29501e+008	0.619835	3.25548e-008
1.77	0.993812	0.666655	-4.29501e+008	1.02142	4.7494e-008
1.78	0.993997	0.666657	-4.29501e+008	0.605984	3.82364e-008
1.79	0.993225	0.666648	-4.29501e+008	1.29834	7.63396e-008
1.8	0.993627	0.666656	-4.29501e+008	0.888889	4.46279e-008
1.81	0.993086	0.666653	-4.29501e+008	0.976771	5.40718e-008
1.82	0.993086	0.666632	-4.29501e+008	1.35249	1.42492e-007
1.83	0.992917	0.666653	-4.29501e+008	0.859984	5.44218e-008
1.84	0.992948	0.66664	-4.29501e+008	0.94518	1.07492e-007
1.85	0.992623	0.666648	-4.29501e+008	1.21549	7.66147e-008
1.86	0.991682	0.666629	-4.29501e+008	1.38744	1.52338e-007
1.87	0.992377	0.666654	-4.29501e+008	0.915096	5.06406e-008
1.88	0.992238	0.666648	-4.29501e+008	1.53916	7.20669e-008
1.89	0.992577	0.666654	-4.29501e+008	1.075	4.88131e-008
1.9	0.991883	0.666653	-4.29501e+008	1.32964	5.45538e-008
1.91	0.991219	0.666644	-4.29501e+008	1.49119	8.69546e-008
1.92	0.991389	0.666646	-4.29501e+008	1.64931	7.94279e-008
1.93	0.99108	0.666647	-4.29501e+008	1.80408	7.66472e-008
1.94	0.990679	0.66664	-4.29501e+008	2.0406	1.03342e-007
1.95	0.990525	0.666637	-4.29501e+008	1.85141	1.13828e-007
1.96	0.990509	0.666654	-4.29501e+008	0.749688	4.5777e-008
1.97	0.98966	0.666619	-4.29501e+008	2.06138	1.8097e-007
1.98	0.989938	0.666637	-4.29501e+008	1.63249	1.09328e-007
1.99	0.989722	0.666641	-4.29501e+008	1.85854	9.62699e-008
2	0.989815	0.666641	-4.29501e+008	2.08	9.3831e-008
2.01	0.988951	0.666646	-4.29501e+008	1.3465	7.71842e-008
2.02	0.986836	0.666595	-4.29501e+008	1.88217	2.616e-007
2.03	0.988056	0.666611	-4.29501e+008	2.6402	2.02631e-007
2.04	0.988086	0.666635	-4.29501e+008	2.53749	1.13723e-007
2.05	0.988225	0.666643	-4.29501e+008	1.97977	8.61184e-008
2.06	0.987469	0.666626	-4.29501e+008	2.03601	1.44573e-007
