Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
11.332	-0.000420869	0.000420869	7.36852e-005	7.36852e-005	-56.6868	4.6193	0.407633	4909.43	0	0	0.293662	0.412677	0.293662	0	0
11.333	0.000271148	-0.000271148	6.98882e-005	6.98882e-005	-55.9961	4.85078	0.428022	4909.43	0	0	0.294107	0.411786	0.294107	0	0
11.334	-0.000547911	0.000547911	6.98449e-005	6.98449e-005	-56.5807	5.27133	0.46509	4909.43	0	0	0.293861	0.412278	0.293861	0	0
11.335	0.000722528	-0.000722528	6.9833e-005	6.9833e-005	-55.6921	4.71194	0.415699	4909.43	0	0	0.293895	0.41221	0.293895	0	0
11.336	-0.000667916	0.000667916	7.38523e-005	7.38523e-005	-57.3957	4.79452	0.422947	4909.43	0	0	0.294293	0.411414	0.294293	0	0
11.337	-0.00111868	0.00111868	7.07483e-005	7.07483e-005	-55.4847	5.18203	0.45709	4909.43	0	0	0.293539	0.412923	0.293539	0	0
11.338	-0.000844101	0.000844101	7.27246e-005	7.27246e-005	-58.6046	4.78946	0.422426	4909.43	0	0	0.293678	0.412644	0.293678	0	0
11.339	-0.000435778	0.000435778	7.31007e-005	7.31007e-005	-56.7624	4.72855	0.417017	4909.43	0	0	0.293729	0.412542	0.293729	0	0
11.34	0.000778956	-0.000778956	6.90722e-005	6.90722e-005	-53.8785	5.35144	0.471909	4909.43	0	0	0.294142	0.411716	0.294142	0	0
11.341	0.000791857	-0.000791857	7.38474e-005	7.38474e-005	-57.8845	5.13913	0.453146	4909.43	0	0	0.293687	0.412627	0.293687	0	0
11.342	0.000619262	-0.000619262	7.25843e-005	7.25843e-005	-55.9497	4.90093	0.432105	4909.43	0	0	0.29388	0.41224	0.29388	0	0
11.343	0.000671928	-0.000671928	7.03058e-005	7.03058e-005	-57.4716	4.69405	0.413828	4909.43	0	0	0.293799	0.412401	0.293799	0	0
11.344	0.000778062	-0.000778062	7.29361e-005	7.29361e-005	-56.4815	4.71427	0.415574	4909.43	0	0	0.293945	0.412111	0.293945	0	0
11.345	-2.56346e-005	2.56346e-005	6.90589e-005	6.90589e-005	-54.9521	5.07343	0.447195	4909.43	0	0	0.294296	0.411409	0.294296	0	0
11.346	0.000206642	-0.000206642	7.06948e-005	7.06948e-005	-56.7573	4.92788	0.434327	4909.43	0	0	0.294629	0.410742	0.294629	0	0
11.347	0.000574037	-0.000574037	6.87444e-005	6.87444e-005	-52.9606	5.1442	0.453353	4909.43	0	0	0.294536	0.410929	0.294536	0	0
11.348	-0.000897267	0.000897267	7.28633e-005	7.28633e-005	-55.9225	5.18542	0.456946	4909.43	0	0	0.293756	0.412487	0.293756	0	0
11.349	-0.000566153	0.000566153	7.51715e-005	7.51715e-005	-56.2069	5.16028	0.45469	4909.43	0	0	0.294318	0.411365	0.294318	0	0
11.35	0.000436138	-0.000436138	7.12233e-005	7.12233e-005	-55.8941	4.71696	0.415591	4909.43	0	0	0.294131	0.411738	0.294131	0	0
11.351	-0.00114831	0.00114831	7.1899e-005	7.1899e-005	-56.7352	4.93234	0.434529	4909.43	0	0	0.293564	0.412872	0.293564	0	0
11.352	0.000470025	-0.000470025	7.06237e-005	7.06237e-005	-55.3256	5.30268	0.467114	4909.43	0	0	0.29414	0.41172	0.29414	0	0
11.353	-0.0002402	0.0002402	7.24756e-005	7.24756e-005	-58.7439	4.87295	0.429221	4909.43	0	0	0.293249	0.413503	0.293249	0	0
11.354	0.000313212	-0.000313212	7.2297e-005	7.2297e-005	-54.6324	4.94013	0.435101	4909.43	0	0	0.293945	0.41211	0.293945	0	0
11.355	0.00216116	-0.00216116	7.13457e-005	7.13457e-005	-56.4991	4.75723	0.418955	4909.43	0	0	0.293871	0.412259	0.293871	0	0
11.356	-0.00195258	0.00195258	7.18603e-005	7.18603e-005	-56.7125	5.0297	0.442911	4909.43	0	0	0.293592	0.412816	0.293592	0	0
11.357	-0.000319395	0.000319395	7.43823e-005	7.43823e-005	-53.3895	5.00519	0.440714	4909.43	0	0	0.293981	0.412038	0.293981	0	0
11.358	8.93259e-005	-8.93259e-005	7.22574e-005	7.22574e-005	-57.332	4.90718	0.432046	4909.43	0	0	0.294002	0.411996	0.294002	0	0
11.359	-1.34593e-005	1.34593e-005	7.08954e-005	7.08954e-005	-56.6801	5.27854	0.464701	4909.43	0	0	0.294047	0.411906	0.294047	0	0
11.36	-0.000293304	0.000293304	6.77917e-005	6.77917e-005	-53.9905	4.9213	0.433213	4909.43	0	0	0.29375	0.4125	0.29375	0	0
11.361	-0.000520035	0.000520035	7.32355e-005	7.32355e-005	-53.3707	5.04058	0.443674	4909.43	0	0	0.293989	0.412021	0.293989	0	0
11.362	0.000195785	-0.000195785	7.12807e-005	7.12807e-005	-56.7411	5.21624	0.459095	4909.43	0	0	0.293682	0.412635	0.293682	0	0
11.363	0.00148298	-0.00148298	7.22766e-005	7.22766e-005	-56.2344	4.99739	0.439795	4909.43	0	0	0.29426	0.411479	0.29426	0	0
11.364	-0.000577385	0.000577385	6.96084e-005	6.96084e-005	-57.9236	5.00394	0.440333	4909.43	0	0	0.293526	0.412948	0.293526	0	0
11.365	-0.000903205	0.000903205	7.10587e-005	7.10587e-005	-57.4061	4.51333	0.397126	4909.43	0	0	0.294079	0.411842	0.294079	0	0
11.366	0.000109884	-0.000109884	7.07413e-005	7.07413e-005	-56.5195	4.9084	0.43185	4909.43	0	0	0.293897	0.412205	0.293897	0	0
11.367	0.00138847	-0.00138847	7.38564e-005	7.38564e-005	-55.3647	5.01062	0.440804	4909.43	0	0	0.293838	0.412323	0.293838	0	0
11.368	-0.000567343	0.000567343	7.22309e-005	7.22309e-005	-55.4991	4.87379	0.428729	4909.43	0	0	0.294161	0.411677	0.294161	0	0
11.369	-0.000409319	0.000409319	7.46861e-005	7.46861e-005	-58.5675	4.63967	0.408098	4909.43	0	0	0.293577	0.412845	0.293577	0	0
11.37	0.000479723	-0.000479723	7.12872e-005	7.12872e-005	-56.3842	5.22744	0.459757	4909.43	0	0	0.293734	0.412531	0.293734	0	0
11.371	0.000232437	-0.000232437	7.1336e-005	7.1336e-005	-56.4888	4.85885	0.427302	4909.43	0	0	0.293928	0.412145	0.293928	0	0
11.372	-0.000397123	0.000397123	7.49152e-005	7.49152e-005	-55.709	5.1034	0.448769	4909.43	0	0	0.294181	0.411639	0.294181	0	0
11.373	-0.000206299	0.000206299	6.95527e-005	6.95527e-005	-57.0645	4.70232	0.413464	4909.43	0	0	0.29371	0.41258	0.29371	0	0
11.374	0.000524449	-0.000524449	7.15732e-005	7.15732e-005	-56.9198	4.86207	0.427473	4909.43	0	0	0.293725	0.41255	0.293725	0	0
11.375	-9.52765e-005	9.52765e-005	7.05136e-005	7.05136e-005	-53.5138	5.15801	0.453451	4909.43	0	0	0.293889	0.412222	0.293889	0	0
11.376	2.51383e-005	-2.51383e-005	7.07294e-005	7.07294e-005	-55.7464	5.27593	0.463778	4909.43	0	0	0.293972	0.412056	0.293972	0	0
11.377	-0.000729432	0.000729432	7.45685e-005	7.45685e-005	-57.7104	4.79288	0.421278	4909.43	0	0	0.29403	0.41194	0.29403	0	0
11.378	-0.000814669	0.000814669	6.89541e-005	6.89541e-005	-55.0309	4.91823	0.432258	4909.43	0	0	0.293599	0.412802	0.293599	0	0
11.379	-0.000345965	0.000345965	6.93014e-005	6.93014e-005	-55.7561	4.56504	0.401181	4909.43	0	0	0.293855	0.412289	0.293855	0	0
11.38	0.00150151	-0.00150151	7.03773e-005	7.03773e-005	-58.4822	5.04074	0.442948	4909.43	0	0	0.293862	0.412277	0.293862	0	0
11.381	0.000984978	-0.000984978	7.29115e-005	7.29115e-005	-58.5794	4.82936	0.424336	4909.43	0	0	0.293679	0.412643	0.293679	0	0
